"relevant_agencies"
"1"	"2100: DEPT OF THE ARMY"
"2"	"1700: DEPT OF THE NAVY"
"3"	"5700: DEPT OF THE AIR FORCE"
"4"	"9760: TRICARE MANAGEMENT ACTIVITY (TMA)"
"5"	"9763: DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)"
"6"	"97AS: DEFENSE LOGISTICS AGENCY"
"7"	"97AB: NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA)"
"8"	"97AK: DEFENSE INFORMATION SYSTEMS AGENCY (DISA)"
"9"	"97BZ: DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)"
"10"	"9773: VIRGINIA CONTRACTING AGENCY"
"11"	"97HW: UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)"
"12"	"97ZS: U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)"
"13"	"9761: DEFENSE THREAT REDUCTION AGENCY (DTRA)"
"14"	"97AZ: DEFENSE COMMISSARY AGENCY  (DECA)"
"15"	"97JC: MISSILE DEFENSE AGENCY (MDA)"
"16"	"97F5: WASHINGTON HEADQUARTERS SERVICES (WHS)"
"17"	"97AE: DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)"
"18"	"97F1: DEFENSE MEDIA CENTER (DMC)"
"19"	"97F2: DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)"
"20"	"9771: DEFENSE MICROELECTRONICS ACTIVITY (DMEA)"
"21"	"97F1: DEFENSE MEDIA ACTIVITY (DMA)"
"22"	"97F3: OFFICE OF THE CIVILIAN HEALTH AND MEDICAL PROGRAM"
"23"	"9700: DEPT OF DEFENSE"
